"Broker","Seniority","Policies_in_force","Lapse","Payment","Premium","Cost_claims_year","N_claims_year","N_claims_history","Type_risk","Urban","Second_driver","Power","Cylinder_capacity","Value_vehicle","N_doors","Diesel","Length","Weight","Premium_class","age","Licence_time"
"0","1","1","0",0,8001,49.95,1,1,"passenger cars",0,0,105,1896,20700,"5",1,4.315,1250,"150-300","adult","experienced driver"
"0","1+","1","0",0,12040,2117.99,2,3,"passenger cars",0,0,105,1896,20210,"5",1,4.204,1249,"300-450","young adult","experienced driver"
"1","1+","1","0",1,11111,1851.76,1,1,"passenger cars",1,0,75,1248,15420,"5",1,3.999,1180,"150-300","adult","experienced driver"
"0","1","4","1",0,11579,882,1,2,"passenger cars",1,0,75,1997,13870,"5",0,3.822,1070,"300-450","young adult","young driver"
"0","1+","1","0",1,17777,51.95,1,1,"passenger cars",1,0,68,1896,11455.29,"5",1,3.88,1070,"300-450","young adult","young driver"
"0","1+","2","0",1,18020,560.71,1,2,"passenger cars",0,0,105,1598,21150,"5",1,4.315,1325,"300-450","young adult","young driver"
"0","1","1","0",0,7206,51.95,1,1,"passenger cars",1,0,100,1753,19100,"4",1,4.382,1251,"150-300","young adult","young driver"
"1","1","1","0",1,18135,354.7,1,1,"passenger cars",1,0,140,1968,28640,"3",1,4.256,1304,"300-450","young adult","young driver"
"0","1+","1","0",1,15611,882,1,2,"passenger cars",1,0,110,1587,25000,"2",0,4.357,1453,"300-450","young adult","young driver"
"0","1+","1","0",1,10573,549.92,2,4,"vans",0,0,94,1997,19123.2,"5",1,4.44,1415,"150-300","young adult","young driver"
"0","1+","1","0",1,21431,213.87,2,5,"passenger cars",0,0,65,1870,10637.91,"5",1,3.71,995,"450-600","young adult","young driver"
"0","1","2","0",1,21250,882,1,1,"vans",1,0,105,1598,23710,"5",1,4.39,1410,"450-600","young adult","young driver"
"0","1+","3","0",0,3441,426.16,1,4,"passenger cars",0,1,125,1395,23450.01,"5",0,4.282,1233,"150-300","young adult","young driver"
"0","1","1","0",0,22201,103.67,1,1,"passenger cars",1,0,150,1910,23290,"5",1,4.249,1333,"600+","young adult","young driver"
"0","1","1","0",1,22478,1748.36,1,1,"passenger cars",0,0,140,1368,29480,"5",0,4.394,1430,"600+","young adult","young driver"
"1","1+","1","0",0,6845,882,1,3,"passenger cars",1,0,71,1868,14544.49,"5",1,4.167,1106,"150-300","senior","experienced driver"
"0","1+","2","0",1,11610,100.85,1,4,"passenger cars",0,1,68,1398,16250,"5",1,3.95,1011,"300-450","senior","experienced driver"
"0","1+","3","0",0,12325,870.36,1,3,"passenger cars",0,0,60,1496,17600,"3",0,3.945,1045,"300-450","adult","experienced driver"
"0","1+","3","1",1,12994,102.51,1,6,"passenger cars",0,1,75,1248,19609.83,"4",1,4.322,1160,"300-450","adult","experienced driver"
"1","1","1","0",1,10558,164.37,1,1,"passenger cars",0,0,90,1461,11750,"5",1,4.024,1114,"150-300","adult","experienced driver"
"1","1","1","0",0,4950,91.48,1,1,"passenger cars",0,0,75,1422,14661,"5",1,3.953,1151,"150-300","adult","experienced driver"
"1","1+","1","0",1,15459,49.95,1,3,"passenger cars",1,0,75,1149,14500,"5",0,4.062,980,"300-450","adult","experienced driver"
"1","1+","1","0",0,10620,49.95,1,5,"passenger cars",1,0,90,1905,15933.97,"5",1,4.369,1197,"150-300","adult","experienced driver"
"0","1+","3","0",0,1653,67.11,1,7,"motorbikes",0,0,0,124,3099,"0",0,3.322,128,"0-150","adult","experienced driver"
"1","1","1","1",1,16087,63.6,1,1,"passenger cars",1,0,143,2497,38813.36,"5",1,4.805,1695,"300-450","adult","experienced driver"
"1","1","1","0",0,8556,642.41,1,1,"passenger cars",1,0,90,1598,15415.96,"2",0,3.931,1010,"150-300","adult","experienced driver"
"1","1+","3","0",0,20986,1704.49,1,1,"passenger cars",1,0,280,2671,49000,"4",0,4.796,1660,"450-600","adult","experienced driver"
"0","1+","1","0",0,3117,95.84,2,3,"passenger cars",0,0,140,1968,31610,"4",1,4.586,1430,"150-300","adult","experienced driver"
"0","1+","1","0",1,8863,1538.89,2,5,"passenger cars",0,0,92,1997,26800,"3",1,4.676,1580,"150-300","adult","experienced driver"
"1","1","1","0",0,7317,1389.43,1,3,"passenger cars",1,0,105,1598,20870,"5",1,4.199,1239,"150-300","young adult","experienced driver"
"1","1","1","1",1,21252,198.12,1,1,"vans",1,0,105,1910,15235,"4",1,4.159,1305,"450-600","adult","young driver"
"0","1","1","0",0,12132,389.52,2,2,"vans",0,0,75,2500,13312.42,"5",1,4.759,1660,"300-450","adult","young driver"
"1","1","1","0",1,10000,64.86,1,1,"passenger cars",1,0,115,1598,21842,"5",0,4.419,1368,"150-300","young adult","young driver"
"0","1","1","0",1,21900,105.08,1,1,"passenger cars",0,0,136,2179,34330,"2",1,4.615,1410,"600+","young adult","young driver"
"1","1+","4","1",1,6937,150.25,1,1,"vans",0,0,184,1896,17417.33,"4",1,4.65,1520,"150-300","young adult","experienced driver"
"0","1+","2","1",0,7074,743.99,1,3,"passenger cars",0,0,75,1590,18800,"5",0,4.14,1168,"150-300","adult","experienced driver"
"1","1+","2","0",1,20778,668.85,1,2,"passenger cars",0,0,100,1395,31750,"3",1,4.363,1359,"450-600","adult","experienced driver"
"0","1+","1","0",1,13725,129.21,1,3,"passenger cars",0,0,90,1598,13642.97,"5",0,4.129,1055,"300-450","adult","experienced driver"
"0","1","1","0",0,3288,89.86,1,1,"passenger cars",0,0,120,1910,22010,"5",1,4.249,1330,"150-300","young adult","young driver"
"1","1","6","1",1,13703,2186.6,4,4,"passenger cars",1,0,70,1905,14021.61,"4",1,4.145,1100,"300-450","adult","experienced driver"
"1","1","6","1",1,10283,47.19,4,4,"vans",1,0,70,1870,10307.36,"4",1,4.115,900,"150-300","adult","experienced driver"
"1","1","6","1",1,11087,51.95,1,4,"passenger cars",1,1,70,1360,9195.49,"4",1,3.565,840,"150-300","adult","experienced driver"
"1","1+","2","0",0,10407,262.06,3,3,"passenger cars",0,0,95,1781,23181.04,"5",0,4.675,1370,"150-300","adult","experienced driver"
"0","1","1","0",0,6324,68.83,1,1,"passenger cars",0,0,140,1968,24010,"5",1,4.199,1276,"150-300","adult","experienced driver"
"0","1","1","0",0,8708,96.7,1,1,"passenger cars",0,0,105,1910,13943.48,"5",1,4.187,1270,"150-300","adult","experienced driver"
"0","1+","1","0",0,7252,85.01,1,3,"passenger cars",0,0,92,1905,15926.82,"5",1,3.995,1120,"150-300","adult","experienced driver"
"0","1+","2","0",1,4607,150.25,1,9,"passenger cars",0,0,90,1560,18473.1,"5",1,4.275,1182,"150-300","adult","experienced driver"
"0","1+","3","0",0,5019,68.83,1,5,"passenger cars",0,0,150,1910,22720,"3",1,4.223,1290,"150-300","adult","experienced driver"
"0","1+","1","0",1,18003,3327.47,1,3,"passenger cars",0,0,190,2720,70000,"5",1,4.788,2455,"300-450","adult","experienced driver"
"0","1+","2","0",1,10109,324.14,1,2,"passenger cars",0,0,110,1896,23439.47,"3",1,4.152,1255,"150-300","adult","experienced driver"
"1","1","1","0",1,7852,93.15,2,2,"passenger cars",0,0,75,1360,11910,"5",0,3.835,950,"150-300","adult","experienced driver"
"0","1","1","0",1,8896,823.07,3,3,"passenger cars",0,0,220,1618,27960,"5",0,4.062,1090,"150-300","adult","experienced driver"
"0","1+","2","0",0,11926,606.49,1,5,"passenger cars",0,1,150,1896,22595,"5",1,4.204,1287,"300-450","adult","experienced driver"
"0","1","2","0",1,5437,49.95,1,1,"passenger cars",0,0,92,1390,9416,"5",1,4.25,1050,"150-300","adult","experienced driver"
"0","1+","4","1",1,7721,820,1,3,"motorbikes",0,0,0,49,2440,"0",0,3.68,93,"150-300","adult","experienced driver"
"0","1+","4","0",1,16085,140.41,2,6,"passenger cars",0,0,70,1398,12815,"5",1,3.85,1022,"300-450","adult","experienced driver"
"0","1+","2","0",1,9720,150.25,1,6,"passenger cars",0,0,82,1493,12675,"5",1,4.2,965,"150-300","adult","experienced driver"
"0","1+","4","0",1,21949,882,1,4,"vans",0,0,184,3198,39950,"5",1,5.392,1969,"600+","adult","experienced driver"
"0","1+","1","0",0,21342,93,1,14,"vans",0,0,128,1997,28885.3,"5",1,4.805,1809,"450-600","adult","experienced driver"
"0","1+","1","0",1,16395,67.88,1,10,"vans",0,0,90,1905,18061.86,"5",1,4.44,1545,"300-450","adult","experienced driver"
"0","1+","2","0",0,18684,337.46,3,8,"passenger cars",0,0,100,1560,20240,"5",1,4.159,1235,"300-450","adult","experienced driver"
"0","1+","2","1",0,18591,14578.88,2,4,"passenger cars",0,0,136,1995,30950,"4",1,4.342,1375,"300-450","adult","experienced driver"
"0","1+","6","0",0,1671,291,2,24,"passenger cars",0,0,90,1753,20870,"5",1,4.454,1272,"0-150","adult","experienced driver"
"0","1+","3","0",0,13492,85.34,1,10,"vans",0,0,95,2287,26850,"3",0,4.963,1825,"300-450","adult","experienced driver"
"0","1+","2","0",1,14402,134.85,2,11,"passenger cars",0,0,71,1598,13754.49,"4",1,4.11,1088,"300-450","adult","experienced driver"
"0","1","1","0",0,3508,337.94,2,2,"passenger cars",0,0,102,1595,19230,"5",0,4.315,1205,"150-300","adult","experienced driver"
"1","1+","2","0",1,13479,62.28,1,8,"passenger cars",1,0,180,2496,51470,"5",1,4.81,1825,"300-450","adult","experienced driver"
"1","1+","1","0",1,13837,265.28,1,2,"passenger cars",1,0,70,1461,15430,"5",1,3.986,1090,"300-450","adult","experienced driver"
"1","1+","3","0",0,9885,49.13,1,2,"passenger cars",1,0,75,1995,43202.78,"3",0,4.638,1490,"150-300","adult","experienced driver"
"0","1+","2","0",1,14663,86.26,1,9,"passenger cars",0,0,64,1896,12098.37,"5",1,3.743,1058,"300-450","adult","experienced driver"
"0","1+","3","1",0,2778,700.47,2,21,"passenger cars",1,0,272,1199,19100,"4",0,3.965,1145,"150-300","adult","experienced driver"
"0","1+","2","0",1,11418,210.83,1,17,"passenger cars",1,0,100,1796,34677,"4",0,4.526,1410,"300-450","adult","experienced driver"
"1","1+","1","0",0,2277,61.52,1,6,"motorbikes",1,0,4,49,1899,"0",0,2.5,78,"150-300","adult","experienced driver"
"1","1","1","0",0,8927,882,1,6,"passenger cars",1,0,150,1995,31200,"4",1,4.471,1415,"150-300","adult","experienced driver"
"1","1+","2","0",0,798,63.34,1,1,"passenger cars",1,0,110,1896,23349.32,"3",1,4.152,1255,"0-150","adult","experienced driver"
"0","1+","1","0",1,14394,51.95,1,2,"passenger cars",0,0,140,1796,23820,"5",0,4.467,1443,"300-450","adult","experienced driver"
"1","1","1","0",0,12735,74.64,1,1,"passenger cars",1,0,95,2720,45090,"5",0,4.815,1724,"300-450","adult","experienced driver"
"0","1+","1","0",0,8058,507.36,1,2,"passenger cars",0,0,90,1753,13913.43,"5",1,4.174,1194,"150-300","adult","experienced driver"
"0","1+","1","0",1,22114,765.02,1,1,"passenger cars",0,0,115,1685,28550,"5",1,4.41,1415,"600+","adult","experienced driver"
"0","1+","6","0",0,4486,67.11,3,14,"passenger cars",1,0,90,1397,18750,"5",1,4.329,1200,"150-300","adult","experienced driver"
"0","1+","6","0",0,540,71.51,2,14,"vans",1,0,90,1461,15050,"5",1,4.035,1055,"0-150","adult","experienced driver"
"1","1+","1","0",1,17985,331.43,1,5,"passenger cars",0,1,120,1910,20250,"5",1,4.336,1320,"300-450","adult","experienced driver"
"0","1+","8","1+",0,3064,211.42,1,1,"passenger cars",1,0,90,1397,11359.13,"3",1,3.59,865,"150-300","young adult","experienced driver"
"1","1","1","0",0,6571,372.35,1,1,"vans",0,0,90,1461,23723.26,"5",1,4.321,1365,"150-300","adult","experienced driver"
"0","1+","4","0",0,8947,89.86,1,10,"passenger cars",0,0,140,2148,37905.12,"5",1,4.581,1510,"150-300","adult","experienced driver"
"0","1","1","0",1,8196,102.99,1,1,"passenger cars",1,0,130,1896,20550,"5",1,4.184,1293,"150-300","adult","experienced driver"
"0","1","1","0",0,6717,882,1,5,"passenger cars",0,0,110,1997,22410,"5",1,4.419,1421,"150-300","adult","young driver"
"0","1+","2","0",0,9261,689.99,1,3,"passenger cars",0,1,106,1586,20574,"3",0,4.005,1370,"150-300","adult","experienced driver"
"0","1+","6","1+",1,8961,680.76,6,9,"passenger cars",0,0,71,1896,15995,"4",1,4.184,1266,"150-300","adult","experienced driver"
"0","1+","1","1",1,16373,993.44,2,3,"passenger cars",0,0,143,1995,28500,"4",0,4.471,1320,"300-450","young adult","experienced driver"
"0","1+","4","1",1,8704,182.9,3,13,"passenger cars",1,0,120,1910,20250,"5",1,4.336,1320,"150-300","adult","experienced driver"
"0","1+","4","1",1,13267,77.86,1,2,"passenger cars",1,0,114,1769,14754,"5",0,4.425,1215,"300-450","adult","experienced driver"
"0","1+","1","0",1,16612,103.9,2,7,"passenger cars",0,1,90,1896,17068.74,"5",1,4.02,1270,"300-450","adult","experienced driver"
"1","1+","1","0",1,7334,98.31,1,5,"passenger cars",0,0,68,1700,13396.56,"5",1,4.278,1130,"150-300","young adult","experienced driver"
"0","1+","2","0",1,10901,43.34,1,8,"passenger cars",0,0,75,1349,9660,"3",0,4.074,1005,"150-300","adult","experienced driver"
"1","1","1","0",0,8181,51.95,1,1,"passenger cars",0,0,90,1360,17350,"3",0,4.274,1182,"150-300","adult","experienced driver"
"0","1+","1","0",0,22855,10867.21,3,3,"passenger cars",1,0,100,1560,18740,"5",1,3.965,1150,"600+","young adult","young driver"
"0","1+","11","0",1,2683,104.18,1,7,"passenger cars",0,0,70,1595,15157.53,"5",0,4.184,1220,"150-300","adult","young driver"
"0","1+","1","0",0,12672,200.33,1,3,"passenger cars",0,0,95,1461,20900,"5",1,4.344,1385,"300-450","adult","experienced driver"
"0","1","1","0",0,6881,98.45,2,2,"passenger cars",0,0,70,1398,17500,"3",1,3.731,1243,"150-300","adult","experienced driver"
"1","1+","1","0",0,8217,295.31,1,5,"passenger cars",1,0,136,1998,23960,"5",1,4.333,1448,"150-300","adult","experienced driver"
"1","1+","1","0",0,11904,76.26,1,6,"passenger cars",1,0,100,1596,17035,"5",0,4.472,1294,"300-450","senior","experienced driver"
"0","1+","2","0",1,20276,234.59,1,9,"passenger cars",1,0,85,1248,13100,"5",0,3.995,1045,"450-600","adult","experienced driver"
"0","1","2","0",0,5885,97.62,1,6,"passenger cars",1,0,90,1560,18600,"5",1,4.149,1257,"150-300","adult","experienced driver"
"1","1+","1","0",0,15506,1008.29,3,14,"vans",1,0,100,1870,21909,"5",1,5.182,1728,"300-450","adult","experienced driver"
"1","1","1","0",0,1560,67.11,1,1,"motorbikes",1,0,15,125,3099,"0",0,4.03,188,"0-150","adult","experienced driver"
"1","1+","3","0",1,11328,312.87,2,7,"passenger cars",1,0,65,1870,15145.51,"5",1,4.174,1250,"150-300","adult","young driver"
"1","1","1","0",1,16317,56.85,1,1,"passenger cars",1,0,100,1686,20670,"5",1,4.249,1305,"300-450","adult","young driver"
"0","1+","1","0",1,13297,1971.4,2,4,"passenger cars",1,0,125,1560,20950,"4",0,4.358,1269,"300-450","adult","experienced driver"
"1","1+","4","0",1,12435,120.18,2,8,"passenger cars",1,0,130,1587,15120.26,"5",1,4.03,1145,"300-450","adult","experienced driver"
"0","1+","3","0",0,5818,150.25,2,9,"passenger cars",0,0,90,2688,42800,"4",1,4.635,2175,"150-300","adult","experienced driver"
"1","1+","1","0",0,17532,254.08,2,6,"passenger cars",1,0,90,1896,21636.44,"3",1,4.152,1270,"300-450","adult","experienced driver"
"0","1","1","0",0,4619,359.74,1,1,"passenger cars",0,0,90,1896,17270,"5",1,4.184,1232,"150-300","adult","experienced driver"
"1","1+","1","0",0,5474,56.85,1,1,"passenger cars",1,0,75,1390,13326,"5",0,3.953,1057,"150-300","adult","experienced driver"
"0","1+","1","0",1,18036,99.66,1,7,"vans",1,0,75,1753,18600,"5",1,4.297,1388,"300-450","adult","experienced driver"
"0","1","1","0",1,9638,187.8,1,1,"passenger cars",0,0,86,1498,10289.33,"5",0,4.074,1087,"150-300","adult","experienced driver"
"0","1+","2","0",0,17018,1160.29,2,7,"passenger cars",0,1,82,1199,15500,"5",0,3.941,980,"300-450","adult","experienced driver"
"0","1+","2","0",0,11703,882,1,2,"passenger cars",1,0,125,1596,19700,"5",0,4.38,1299,"300-450","adult","experienced driver"
"1","1+","1","0",1,9881,841.78,1,7,"passenger cars",0,0,75,1343,9616,"4",0,4.453,944,"150-300","adult","experienced driver"
"0","1+","2","0",0,5610,78.77,1,25,"vans",0,0,60,1560,20705,"4",1,4.38,1407,"150-300","adult","experienced driver"
"1","1+","1","0",0,14884,191.59,1,5,"passenger cars",1,0,98,1870,27160,"4",0,4.695,1385,"300-450","adult","experienced driver"
"0","1+","3","0",0,6035,1908.88,1,16,"passenger cars",0,0,60,1461,15000,"4",1,3.792,1185,"150-300","adult","experienced driver"
"1","1","1","1",1,4038,386.88,1,1,"passenger cars",0,0,45,1195,8095.63,"3",0,3.741,865,"150-300","adult","experienced driver"
"1","1","1","0",0,15116,78.21,1,1,"vans",0,0,109,2148,23368.2,"5",1,4.748,1745,"300-450","adult","experienced driver"
"0","1","2","0",1,22726,511.71,1,1,"vans",1,0,143,1968,33589.6,"2",1,6.575,1636,"600+","adult","experienced driver"
"0","1","1","0",0,9289,56.85,1,1,"passenger cars",1,0,70,1422,13875,"5",1,3.916,1089,"150-300","adult","experienced driver"
"1","1+","1","0",1,17173,7501.75,2,5,"vans",1,0,100,1870,24200,"5",1,4.782,1789,"300-450","adult","experienced driver"
"0","1+","2","0",0,14429,520.95,2,6,"passenger cars",0,0,112,1995,33400,"3",1,4.52,1505,"300-450","adult","experienced driver"
"1","1","1","0",1,4915,86.76,1,1,"passenger cars",0,0,82,1493,14800,"5",1,4.025,1370,"150-300","adult","experienced driver"
"0","1+","3","1",0,2440,77.98,1,4,"motorbikes",0,0,14,239,2860.22,"0",0,2.09,123,"150-300","adult","experienced driver"
"1","1","1","0",0,6949,4818.84,2,2,"passenger cars",1,1,92,1560,18780,"5",1,3.962,1155,"150-300","adult","experienced driver"
"0","1","2","0",0,2250,180.04,1,1,"motorbikes",1,0,0,600,7449,"0",0,3.322,187,"150-300","adult","young driver"
"0","1+","1","0",0,15885,284.83,1,7,"vans",1,0,75,1686,16051,"5",1,4.322,1203,"300-450","adult","experienced driver"
"0","1+","1","0",0,9846,224.42,3,3,"passenger cars",1,0,95,1498,19700,"5",0,3.883,1170,"150-300","adult","experienced driver"
"0","1","1","0",1,10618,991.04,2,2,"passenger cars",0,0,90,1461,15048.43,"5",1,4.316,1205,"150-300","adult","experienced driver"
"1","1+","4","0",1,19808,882,1,3,"passenger cars",1,1,60,1867,12220,"6",0,3.835,1084,"450-600","adult","experienced driver"
"1","1","1","0",0,21990,1477.58,1,1,"passenger cars",0,1,117,1590,23199.99,"5",0,4.355,1285,"600+","adult","experienced driver"
"1","1","1","0",0,7467,882,1,1,"passenger cars",0,0,110,2184,15665,"4",1,4.425,1250,"150-300","adult","experienced driver"
"1","1+","1","0",0,15845,996.71,3,4,"vans",0,0,140,2402,30950,"5",1,5.68,1938,"300-450","adult","experienced driver"
"0","1+","2","0",0,3719,220.72,2,6,"passenger cars",0,0,115,1998,23550,"5",1,4.731,1430,"150-300","adult","experienced driver"
"1","1+","2","0",1,8791,64.85,1,14,"passenger cars",0,0,120,1598,17900,"5",1,3.626,1075,"150-300","adult","experienced driver"
"1","1","1","0",0,1051,56.68,1,13,"motorbikes",0,0,11,125,2299,"0",0,3.52,130,"0-150","adult","experienced driver"
"0","1+","1","0",0,11439,174,2,2,"vans",0,0,115,1995,27350,"5",1,5.182,1724,"300-450","adult","experienced driver"
"1","1","1","0",1,14463,292.69,1,1,"passenger cars",0,0,90,1896,21636.44,"3",1,4.152,1270,"300-450","adult","experienced driver"
"0","1+","2","0",0,11827,78.77,1,5,"passenger cars",0,0,136,1870,23745,"5",1,4.5,1310,"300-450","adult","experienced driver"
"1","1+","1","0",1,18690,768.5,2,5,"passenger cars",1,0,110,1560,20840,"5",1,4.26,1205,"300-450","adult","experienced driver"
"0","1+","2","1",1,8551,871.88,2,7,"passenger cars",0,1,110,1461,20680,"4",1,4.302,1215,"150-300","adult","experienced driver"
"1","1","1","0",1,10378,1087.7,3,3,"passenger cars",0,0,75,1149,13800,"5",0,3.986,1015,"150-300","adult","experienced driver"
"1","1+","2","0",1,7407,460.07,1,1,"passenger cars",1,0,110,1560,24370,"5",1,4.47,1414,"150-300","young adult","young driver"
"1","1+","1","1",1,11921,49.13,1,1,"passenger cars",1,0,110,1560,23800,"4",1,4.676,1512,"300-450","adult","experienced driver"
"1","1+","1","1",1,16972,6875.43,1,4,"passenger cars",1,0,90,1997,18943,"5",1,4.276,1300,"300-450","young adult","experienced driver"
"1","1+","12","1+",1,9540,70.57,5,28,"passenger cars",1,1,184,1796,22230,"4",1,4.267,1195,"150-300","adult","experienced driver"
"0","1+","2","0",0,680,510.35,1,1,"passenger cars",1,0,140,2204,28400,"5",1,4.53,1656,"0-150","young adult","experienced driver"
"1","1","1","0",1,11239,148.77,2,2,"passenger cars",1,0,92,1560,17740,"5",1,4.26,1182,"150-300","adult","experienced driver"
"1","1+","2","1",1,15865,929.92,1,5,"passenger cars",1,0,120,1910,27915,"5",1,4.467,1553,"300-450","young adult","experienced driver"
"0","1+","2","0",1,9293,608.89,1,4,"passenger cars",1,0,60,1686,22940,"5",0,4.419,1428,"150-300","young adult","experienced driver"
"1","1+","1","0",1,21140,882,1,4,"passenger cars",1,0,60,1391,10030.89,"3",0,3.88,955,"450-600","young adult","young driver"
"1","1+","1","0",0,19041,55.17,1,3,"passenger cars",0,0,115,1582,19681,"5",1,4.235,1292,"300-450","senior","senior driver"
"1","1","1","0",1,6672,63.34,1,1,"passenger cars",0,0,64,1896,13769.19,"5",1,4.02,1060,"150-300","senior","experienced driver"
"1","1+","2","0",0,15069,882,2,3,"vans",0,0,75,2198,29400,"6",1,5.413,1900,"300-450","adult","experienced driver"
"0","1+","1","0",0,14971,306.13,1,1,"passenger cars",0,0,136,1997,30600,"4",1,4.676,1672,"300-450","adult","experienced driver"
"1","1+","3","1",0,11184,153.18,2,5,"passenger cars",0,0,122,1497,16357,"4",0,4.197,1179,"150-300","adult","experienced driver"
"1","1+","3","0",1,21528,4062,1,4,"vans",0,0,120,1997,23816,"5",1,4.805,1702,"450-600","adult","experienced driver"
"1","1+","1","0",1,14995,67.11,1,2,"passenger cars",0,0,70,1398,12660,"3",1,3.662,1071,"300-450","adult","experienced driver"
"1","1+","1","0",1,18795,9598.8,1,7,"passenger cars",0,0,125,1781,23420,"3",0,4.152,1160,"300-450","adult","young driver"
"1","1","1","0",0,4414,88.3,1,1,"passenger cars",0,0,60,1124,9784,"5",0,3.72,825,"150-300","adult","experienced driver"
"0","1+","1","0",0,2506,138.52,1,1,"motorbikes",0,0,36,399,6099,"0",0,3.995,209,"150-300","adult","experienced driver"
"0","1+","1","0",1,20044,645.2,1,4,"passenger cars",0,0,75,2926,44900,"5",1,4.775,1635,"450-600","adult","experienced driver"
"0","1+","2","0",1,16872,2380.54,1,2,"passenger cars",0,0,82,1199,18200,"5",0,4.17,1083,"300-450","adult","experienced driver"
"0","1+","2","0",0,12246,681.46,4,4,"passenger cars",0,1,110,1997,15180,"5",1,3.822,1145,"300-450","adult","experienced driver"
"1","1+","1","0",1,18853,926.61,1,5,"passenger cars",1,0,64,1198,12505,"3",0,3.953,1015,"300-450","adult","experienced driver"
"1","1","2","0",0,16325,56.63,1,1,"passenger cars",0,0,136,1951,28451.91,"4",1,4.471,1450,"300-450","adult","experienced driver"
"1","1","1","0",0,6202,49.95,1,1,"passenger cars",0,1,100,1896,16407.29,"4",1,4.28,1171,"150-300","adult","experienced driver"
"1","1","1","0",0,22186,941.47,1,1,"passenger cars",0,0,174,2461,48610,"5",1,4.754,2267,"600+","adult","experienced driver"
"0","1","1","0",0,11404,465.01,2,2,"passenger cars",1,0,150,1995,28300,"3",1,4.262,1395,"300-450","adult","experienced driver"
"1","1","1","0",0,12619,970,1,1,"passenger cars",0,1,70,1398,16270,"5",1,3.85,1022,"300-450","adult","experienced driver"
"0","1+","3","1",1,19429,4567,3,19,"passenger cars",0,0,110,1686,21290,"5",1,4.249,1325,"450-600","adult","experienced driver"
"0","1+","1","0",1,12899,121.97,1,9,"passenger cars",1,0,136,1951,28451.91,"4",1,4.471,1450,"300-450","senior","senior driver"
"1","1+","2","0",0,21068,10827.05,2,3,"passenger cars",0,0,125,1395,23450.01,"5",0,4.282,1233,"450-600","adult","experienced driver"
"1","1","1","0",1,12376,451.51,1,1,"vans",1,0,90,1753,16610,"5",1,4.555,1399,"300-450","adult","experienced driver"
"1","1","1","0",0,17269,740.06,1,1,"passenger cars",1,0,140,1997,29190,"5",1,4.768,1668,"300-450","adult","experienced driver"
"1","1","1","0",1,11555,88.94,1,1,"passenger cars",0,0,105,1598,19100,"5",0,4.249,1195,"300-450","adult","experienced driver"
"0","1+","1","0",1,14860,882,1,11,"vans",0,0,177,1461,16310,"4",1,3.995,1095,"300-450","adult","experienced driver"
"1","1+","1","1",0,20003,100.55,1,2,"passenger cars",0,0,115,1995,26300,"3",1,4.262,1395,"450-600","adult","young driver"
"0","1+","1","0",0,8538,209.4,2,17,"passenger cars",0,0,115,1991,21174,"5",1,4.545,1543,"150-300","adult","experienced driver"
"0","1+","3","0",0,13719,311.96,2,11,"passenger cars",0,0,68,1199,25350,"5",1,4.602,1372,"300-450","senior","senior driver"
"1","1","1","0",0,10984,255.27,1,1,"passenger cars",1,0,100,1896,14815,"4",1,4.28,1188,"150-300","adult","experienced driver"
"0","1+","1","0",1,13538,974.94,1,6,"passenger cars",0,0,75,1598,25489.68,"5",1,4.255,1299,"300-450","adult","experienced driver"
"0","1+","2","0",1,8948,67.91,1,3,"passenger cars",0,0,105,1896,19889,"5",1,4.315,1290,"150-300","adult","experienced driver"
"0","1+","2","0",1,2201,4129.35,1,7,"passenger cars",1,0,150,1197,17428.17,"5",1,4.236,1070,"150-300","adult","experienced driver"
"1","1+","2","0",1,9703,3382,1,2,"passenger cars",1,0,83,1328,10801.37,"3",0,3.615,910,"150-300","adult","experienced driver"
"1","1","2","0",0,8738,320.52,2,2,"passenger cars",1,0,136,1997,23700,"4",1,4.481,1316,"150-300","adult","experienced driver"
"1","1","2","0",1,20515,686.27,2,2,"passenger cars",0,1,140,1968,31610,"4",1,4.586,1430,"450-600","young adult","young driver"
"1","1","1","0",0,17191,618.7,1,1,"passenger cars",0,0,105,1896,23300,"5",1,4.206,1395,"300-450","adult","experienced driver"
"1","1","1","0",1,19595,882,1,1,"passenger cars",0,0,75,1390,12046,"5",0,3.953,1057,"450-600","adult",NA
"1","1+","2","0",1,11652,85.01,1,4,"passenger cars",0,0,109,2184,20650,"5",1,4.197,1304,"300-450","young adult","experienced driver"
"1","1","1","0",0,8980,51.95,1,1,"passenger cars",1,0,105,1896,20250,"5",1,4.315,1250,"150-300","adult","experienced driver"
"0","1","1","0",1,17981,219.44,1,1,"passenger cars",0,0,115,1910,19410,"3",1,4.182,1265,"300-450","young adult","young driver"
"0","1+","2","0",1,2169,439.74,2,2,"passenger cars",0,0,90,1896,16587.93,"5",1,4.02,1195,"0-150","adult","young driver"
"0","1+","2","0",0,7715,61.52,1,9,"passenger cars",0,0,68,1399,14385,"3",1,3.916,1061,"150-300","adult","experienced driver"
"0","1+","2","1",1,11490,150.25,1,4,"passenger cars",0,0,90,1587,14807.77,"5",0,4.167,1078,"300-450","adult","experienced driver"
"0","1","2","0",1,17065,116.74,1,1,"passenger cars",1,1,90,1560,20050.01,"5",1,4.372,1344,"300-450","adult","young driver"
"0","1","1","0",0,12639,970,2,2,"passenger cars",1,0,130,1896,29010,"4",1,4.547,1395,"300-450","adult","experienced driver"
