"Premium","Cost_claims_year","Power","Cylinder_capacity","Value_vehicle","Length","Weight","Broker","newClient","Policies_in_force","Lapse","Payment","N_claims_year","N_claims_history","Type_risk","Urban","Second_driver","N_doors","Diesel"
291.75,133.88,100,1461,20845,4.498,1215,"0","0","1","0","0","1","2 - 4","passenger cars","0","0","4","1"
342.94,381.06,110,1560,25400,4.676,1437,"1","1","1","0","1","2","2 - 4","passenger cars","0","0","4","1"
364.07,381.63,120,1998,23015,4.47,1205,"0","1","1","0","0","1","1","passenger cars","0","0","5","0"
243.3,143.97,135,2464,26270,5.182,1771,"1","1","1","0","0","1","1","vans","1","0","5","1"
391.94,289.4,90,1968,30940,4.665,1645,"0","0","2","0","0","3","5+","passenger cars","0","0","5","1"
302.42,159.82,120,2953,27986.16,6.457,1947,"0","0","6+","0","0","1","5+","vans","0","0","4","1"
297.7,102.8,105,1197,21580,4.397,1378,"0","0","4","0","0","1","5+","passenger cars","0","0","5","0"
313.16,58.53,100,1998,20480,4.834,1734,"1","0","1","0","0","1","1","vans","0","0","5","1"
255.09,932.4,90,1997,19690,4.419,1390,"0","0","1","0","1","4+","5+","passenger cars","0","0","5","1"
370.68,399.5,71,1905,13498.73,4.11,1155,"0","0","1","0","0","1","1","vans","0","0","4","1"
247.27,78.77,100,1910,15280,4.159,1320,"1","0","1","0","0","1","2 - 4","vans","0","0","5","1"
323.91,1515.94,90,3311,66730,4.74,1925,"0","0","1","0","0","2","2 - 4","passenger cars","0","0","5","1"
392.94,2281.38,71,1753,19905,4.342,1397,"0","0","5","1","0","1","5+","passenger cars","1","0","5","1"
279.55,127.2,100,1994,18811.68,4.48,1410,"0","0","3","0","1","1","5+","passenger cars","0","1","5","1"
225.03,99.9,140,970,7115.92,3.43,910,"0","1","1","0","0","2","5+","passenger cars","0","0","4","1"
233.57,549.76,90,1753,15410,4.308,1399,"0","0","1","0","0","1","5+","vans","0","0","4","1"
300.45,69.91,135,2464,26220,4.782,1935,"0","0","1","0","0","1","5+","vans","0","0","5","1"
321.49,141.62,140,1968,24230,4.204,1281,"0","0","1","0","0","2","5+","passenger cars","0","0","3","1"
245.41,166.91,115,1796,27600,4.343,1390,"0","0","2","0","1","1","1","passenger cars","0","0","4","0"
379.05,230.55,92,1560,17740,4.26,1182,"0","0","2","0","0","2","2 - 4","passenger cars","1","0","5","1"
532.43,775.6,150,1910,25270,4.596,1480,"0","1","1","0","1","1","2 - 4","passenger cars","0","1","5","1"
500.31,86.55,110,1598,23989.68,4.562,1395,"0","0","2","0","1","1","2 - 4","passenger cars","0","0","5","1"
232.77,420.88,60,1389,9754.43,3.741,1045,"0","0","1","0","0","1","2 - 4","passenger cars","1","0","3","0"
221.76,1267.67,90,1461,17015,4.062,1071,"1","1","1","0","0","2","2 - 4","passenger cars","0","0","5","1"
261.95,103.67,150,1896,21795,4.184,1301,"1","1","1","0","0","1","1","passenger cars","0","0","5","1"
627.63,3860.71,90,1560,18090,4.342,1357,"0","0","1","0","0","4+","5+","passenger cars","0","0","5","1"
278.92,1057.8,100,1910,14003.58,4.187,1270,"1","1","1","0","1","2","2 - 4","passenger cars","0","0","5","1"
300.68,49.13,140,1968,27390,4.214,1340,"1","1","6+","1","0","4+","5+","passenger cars","0","1","3","1"
385.18,1104.8,140,1598,23520,4.562,1395,"1","1","6+","1","0","4+","5+","passenger cars","0","1","3","1"
235.43,882,140,1968,27000,4.765,1710,"1","1","6+","1","0","4+","5+","passenger cars","0","1","3","1"
258.39,67.11,115,1753,19595,4.481,1316,"1","1","1","0","0","1","1","passenger cars","0","0","4","1"
291.5,145.3,82,1998,22000,4.56,1345,"1","0","2","0","0","1","5+","passenger cars","1","0","5","0"
361.28,154.82,140,1968,20400,4.238,1320,"1","1","3","0","0","2","2 - 4","passenger cars","0","1","3","1"
202.58,338.6,136,1997,23555,4.473,1465,"0","1","1","0","1","1","1","passenger cars","0","0","5","1"
523.62,60.11,106,1461,20520,4.295,1205,"0","0","1","0","1","1","2 - 4","passenger cars","1","0","3","1"
225.06,63.17,100,1596,18470,4.333,1297,"1","1","1","0","0","1","1","passenger cars","1","1","5","0"
363.92,214.77,100,1995,20070,4.495,1495,"1","1","1","0","1","1","1","passenger cars","1","0","5","1"
193.88,152.02,75,1360,14321,4.188,1116,"0","0","2","0","0","1","5+","passenger cars","0","0","5","0"
292.9,382.16,71,1868,13839,4.108,1155,"1","0","1","1","1","2","5+","vans","0","0","3","1"
396.16,1052.77,102,2148,22063.2,4.748,1690,"1","0","1","0","0","3","5+","vans","0","0","4","1"
819.49,327.9,177,1995,39600,4.841,1510,"1","0","1","0","1","1","1","passenger cars","0","0","4","1"
319.94,882,75,1753,14390,4.308,1392,"0","0","1","0","1","1","5+","vans","0","0","4","1"
456.22,129.56,70,1422,13420,3.916,1089,"0","1","1","0","0","1","1","passenger cars","0","1","3","1"
280.45,76.04,90,1560,21005,4.276,1290,"0","0","2","0","1","1","5+","passenger cars","0","0","5","1"
374.83,238.4,150,1995,31200,4.471,1415,"1","0","2","0","0","2","2 - 4","passenger cars","1","1","4","1"
432.72,85.01,64,1896,17964.25,4.02,1273,"1","0","2","0","0","3","5+","passenger cars","0","1","5","1"
231.52,232.14,100,1595,16407.63,4.33,1229,"1","1","1","0","1","1","1","passenger cars","0","0","4","0"
488.19,190.31,105,2953,20392.34,6.76,1970,"1","0","3","1","0","1","5+","vans","1","0","5","1"
422.44,112.34,160,1956,30375,4.83,1580,"0","0","1","0","1","1","5+","passenger cars","0","0","4","1"
491.82,162.26,65,1870,10637.91,3.71,995,"1","1","1","0","1","1","1","passenger cars","1","1","5","1"
325.89,782.04,130,1896,32680,4.544,1480,"1","1","1","0","1","2","2 - 4","passenger cars","0","0","5","1"
345.19,337.79,125,2982,34690.42,4.77,1990,"0","0","1","0","1","1","1","passenger cars","0","0","5","1"
326.24,73.97,75,1870,24315,4.516,1370,"0","0","4","0","0","2","5+","passenger cars","1","0","4","1"
263.51,235.94,120,1870,27610,4.576,1350,"0","1","1","0","0","1","1","passenger cars","0","0","5","1"
315.27,3894.43,140,1368,32950,4.394,1430,"1","1","2","0","0","1","1","passenger cars","0","0","5","0"
379.28,1302.35,75,1753,14822,4.278,1450,"1","0","1","0","0","1","5+","vans","0","0","5","1"
225.26,216.29,75,1560,18350,4.38,1422,"1","0","1","0","0","2","2 - 4","vans","0","0","5","1"
278.47,3308.69,90,1975,18282.79,4.52,1300,"1","0","1","0","0","3","5+","passenger cars","1","0","5","1"
736.74,5087.29,115,1685,24540,4.41,1415,"0","0","2","1","1","3","5+","passenger cars","0","0","5","1"
372.06,89.86,120,1798,23500,4.755,1335,"1","0","1","0","0","1","2 - 4","passenger cars","0","0","5","0"
232.56,245.64,60,1997,13870,3.822,1070,"1","0","2","0","1","1","1","passenger cars","0","0","4","0"
655.38,1195.29,120,1598,22220,4.248,1320,"0","0","1","0","1","1","5+","passenger cars","1","0","5","1"
74.84,99.9,150,2461,46090,4.754,2247,"0","0","2","0","0","2","2 - 4","passenger cars","0","0","3","1"
293.88,173.16,109,1598,14835,4.295,1175,"1","0","1","0","1","1","2 - 4","passenger cars","1","0","5","0"
301.95,337.97,105,1896,16815,4.052,1125,"1","0","1","0","0","1","1","passenger cars","0","0","5","1"
260.2,49.95,75,1149,15100,4.062,1059,"0","1","1","0","0","1","1","passenger cars","0","0","5","0"
301.56,607.49,115,1598,24830,4.214,1225,"0","1","1","0","1","1","1","passenger cars","0","0","3","0"
443.33,255.99,109,1995,31000,4.56,1647,"1","0","6+","1","0","3","5+","passenger cars","0","0","4","1"
285.78,491.32,80,1910,15028,4.159,1320,"0","0","1","0","1","2","5+","vans","0","0","5","0"
258.74,49.95,105,1896,20700,4.315,1250,"0","1","1","0","0","1","1","passenger cars","0","0","5","1"
309.19,2117.99,105,1896,20210,4.204,1249,"0","0","1","0","0","2","2 - 4","passenger cars","0","0","5","1"
296.98,1851.76,75,1248,15420,3.999,1180,"1","0","1","0","1","1","1","passenger cars","1","0","5","1"
303.05,882,75,1997,13870,3.822,1070,"0","1","4","1","0","1","2 - 4","passenger cars","1","0","5","0"
411.3,51.95,68,1896,11455.29,3.88,1070,"0","0","1","0","1","1","1","passenger cars","1","0","5","1"
417.45,560.71,105,1598,21150,4.315,1325,"0","0","2","0","1","1","2 - 4","passenger cars","0","0","5","1"
249.37,51.95,100,1753,19100,4.382,1251,"0","1","1","0","0","1","1","passenger cars","1","0","4","1"
420.46,354.7,140,1968,28640,4.256,1304,"1","1","1","0","1","1","1","passenger cars","1","0","3","1"
362.72,882,110,1587,25000,4.357,1453,"0","0","1","0","1","1","2 - 4","passenger cars","1","0","2","0"
290.11,549.92,94,1997,19123.2,4.44,1415,"0","0","1","0","1","2","2 - 4","vans","0","0","5","1"
574.64,213.87,65,1870,10637.91,3.71,995,"0","0","1","0","1","2","5+","passenger cars","0","0","5","1"
560.99,882,105,1598,23710,4.39,1410,"0","1","2","0","1","1","1","vans","1","0","5","1"
193.64,426.16,125,1395,23450.01,4.282,1233,"0","0","3","0","0","1","2 - 4","passenger cars","0","1","5","0"
667.26,103.67,150,1910,23290,4.249,1333,"0","1","1","0","0","1","1","passenger cars","1","0","5","1"
732.66,1748.36,140,1368,29480,4.394,1430,"0","1","1","0","1","1","1","passenger cars","0","0","5","0"
244.98,882,71,1868,14544.49,4.167,1106,"1","0","1","0","0","1","2 - 4","passenger cars","1","0","5","1"
303.42,100.85,68,1398,16250,3.95,1011,"0","0","2","0","1","1","2 - 4","passenger cars","0","1","5","1"
312.94,870.36,60,1496,17600,3.945,1045,"0","0","3","0","0","1","2 - 4","passenger cars","0","0","3","0"
322.34,102.51,75,1248,19609.83,4.322,1160,"0","0","3","1","1","1","5+","passenger cars","0","1","4","1"
289.92,164.37,90,1461,11750,4.024,1114,"1","1","1","0","1","1","1","passenger cars","0","0","5","1"
220.53,91.48,75,1422,14661,3.953,1151,"1","1","1","0","0","1","1","passenger cars","0","0","5","1"
360.12,49.95,75,1149,14500,4.062,980,"1","0","1","0","1","1","2 - 4","passenger cars","1","0","5","0"
290.68,49.95,90,1905,15933.97,4.369,1197,"1","0","1","0","0","1","5+","passenger cars","1","0","5","1"
129.55,67.11,0,124,3099,3.435,128,"0","0","3","0","0","1","5+","motorbikes","0","0","0","0"
371.35,63.6,143,2497,38813.36,4.805,1695,"1","1","1","1","1","1","1","passenger cars","1","0","5","1"
265.44,642.41,90,1598,15415.96,3.931,1010,"1","1","1","0","0","1","1","passenger cars","1","0","2","0"
541.99,1704.49,280,2671,49000,4.796,1660,"1","0","3","0","0","1","1","passenger cars","1","0","4","0"
185.04,95.84,140,1968,31610,4.586,1430,"0","0","1","0","0","2","2 - 4","passenger cars","0","0","4","1"
269.15,1538.89,92,1997,26800,4.676,1580,"0","0","1","0","1","2","5+","passenger cars","0","0","3","1"
250.67,1389.43,105,1598,20870,4.199,1239,"1","1","1","0","0","1","2 - 4","passenger cars","1","0","5","1"
561.23,198.12,105,1910,15235,4.159,1305,"1","1","1","1","1","1","1","vans","1","0","4","1"
310.42,389.52,75,2500,13312.42,4.759,1660,"0","1","1","0","0","2","2 - 4","vans","0","0","5","1"
283.04,64.86,115,1598,21842,4.419,1368,"1","1","1","0","1","1","1","passenger cars","1","0","5","0"
626.04,105.08,136,2179,34330,4.615,1410,"0","1","1","0","1","1","1","passenger cars","0","0","2","1"
246.16,150.25,184,1896,17417.33,4.65,1520,"1","0","4","1","1","1","1","vans","0","0","4","1"
247.79,743.99,75,1590,18800,4.14,1168,"0","0","2","1","0","1","2 - 4","passenger cars","0","0","5","0"
529.19,668.85,100,1395,31750,4.363,1359,"1","0","2","0","1","1","2 - 4","passenger cars","0","0","3","1"
332.68,129.21,90,1598,13642.97,4.129,1055,"0","0","1","0","1","1","2 - 4","passenger cars","0","0","5","0"
189.54,89.86,120,1910,22010,4.249,1330,"0","1","1","0","0","1","1","passenger cars","0","0","5","1"
332.39,2186.6,70,1905,14021.61,4.145,1100,"1","1","6+","1","1","4+","2 - 4","passenger cars","1","0","4","1"
286.45,47.19,70,1870,10307.36,3.995,900,"1","1","6+","1","1","4+","2 - 4","vans","1","0","4","1"
296.67,51.95,70,1360,9195.49,3.565,840,"1","1","6+","1","1","1","2 - 4","passenger cars","1","1","4","1"
288.07,262.06,95,1781,23181.04,4.675,1370,"1","0","2","0","0","3","2 - 4","passenger cars","0","0","5","0"
238.55,68.83,140,1968,24010,4.199,1276,"0","1","1","0","0","1","1","passenger cars","0","0","5","1"
267.36,96.7,105,1910,13943.48,4.187,1270,"0","1","1","0","0","1","1","passenger cars","0","0","5","1"
249.94,85.01,92,1905,15926.82,3.995,1120,"0","0","1","0","0","1","2 - 4","passenger cars","0","0","5","1"
215.3,150.25,90,1560,18473.1,4.275,1182,"0","0","2","0","1","1","5+","passenger cars","0","0","5","1"
221.46,68.83,150,1910,22720,4.223,1290,"0","0","3","0","0","1","5+","passenger cars","0","0","3","1"
417.09,3327.47,190,2720,70000,4.788,2455,"0","0","1","0","1","1","2 - 4","passenger cars","0","0","5","1"
284.29,324.14,110,1896,23439.47,4.152,1255,"0","0","2","0","1","1","2 - 4","passenger cars","0","0","3","1"
257.01,93.15,75,1360,11910,3.835,950,"1","1","1","0","1","2","2 - 4","passenger cars","0","0","5","0"
269.52,823.07,220,1618,27960,4.062,1090,"0","1","1","0","1","3","2 - 4","passenger cars","0","0","5","0"
307.65,606.49,150,1896,22595,4.204,1287,"0","0","2","0","0","1","5+","passenger cars","0","1","5","1"
227.12,49.95,92,1390,9416,4.25,1050,"0","1","2","0","1","1","1","passenger cars","0","0","5","1"
255.46,820,0,49,2440,3.87,93,"0","0","4","1","1","1","2 - 4","motorbikes","0","0","0","0"
371.33,140.41,70,1398,12815,3.85,1022,"0","0","4","0","1","2","5+","passenger cars","0","0","5","1"
279.54,150.25,82,1493,12675,4.2,965,"0","0","2","0","1","1","5+","passenger cars","0","0","5","1"
633.34,882,184,3198,39950,5.392,1969,"0","0","4","0","1","1","2 - 4","vans","0","0","5","1"
568.14,93,128,1997,28885.3,4.805,1809,"0","0","1","0","0","1","5+","vans","0","0","5","1"
377.52,67.88,90,1905,18061.86,4.44,1545,"0","0","1","0","1","1","5+","vans","0","0","5","1"
436.68,337.46,100,1560,20240,4.159,1235,"0","0","2","0","0","3","5+","passenger cars","0","0","5","1"
433.63,14578.88,136,1995,30950,4.342,1375,"0","0","2","1","0","2","2 - 4","passenger cars","0","0","4","1"
130.16,291,90,1753,20870,4.454,1272,"0","0","6+","0","0","2","5+","passenger cars","0","0","5","1"
329.33,85.34,95,2287,26850,4.963,1825,"0","0","3","0","0","1","5+","vans","0","0","3","0"
342.75,134.85,71,1598,13754.49,4.11,1088,"0","0","2","0","1","2","5+","passenger cars","0","0","4","1"
195.11,337.94,102,1595,19230,4.315,1205,"0","1","1","0","0","2","2 - 4","passenger cars","0","0","5","0"
329.14,62.28,180,2496,51470,4.81,1825,"1","0","2","0","1","1","5+","passenger cars","1","0","5","1"
334.24,265.28,70,1461,15430,3.986,1090,"1","0","1","0","1","1","2 - 4","passenger cars","1","0","5","1"
281.6,49.13,75,1995,43202.78,4.638,1490,"1","0","3","0","0","1","2 - 4","passenger cars","1","0","3","0"
346.9,86.26,64,1896,12098.37,3.743,1058,"0","0","2","0","1","1","5+","passenger cars","0","0","5","1"
172.97,700.47,272,1199,19100,3.965,1145,"0","0","3","1","0","2","5+","passenger cars","1","0","4","0"
301.01,210.83,100,1796,34677,4.526,1410,"0","0","2","0","1","1","5+","passenger cars","1","0","4","0"
154.13,61.52,4,49,1899,3.995,78,"1","0","1","0","0","1","5+","motorbikes","1","0","0","0"
269.91,882,150,1995,31200,4.471,1415,"1","1","1","0","0","1","5+","passenger cars","1","0","4","1"
101.15,63.34,110,1896,23349.32,4.152,1255,"1","0","2","0","0","1","1","passenger cars","1","0","3","1"
342.64,51.95,140,1796,23820,4.467,1443,"0","0","1","0","1","1","2 - 4","passenger cars","0","0","5","0"
318.71,74.64,95,2720,45090,4.815,1724,"1","1","1","0","0","1","1","passenger cars","1","0","5","0"
259.38,507.36,90,1753,13913.43,4.174,1194,"0","0","1","0","0","1","2 - 4","passenger cars","0","0","5","1"
654.99,765.02,115,1685,28550,4.41,1415,"0","0","1","0","1","1","1","passenger cars","0","0","5","1"
213.44,67.11,90,1397,18750,4.329,1200,"0","0","6+","0","0","3","5+","passenger cars","1","0","5","1"
86.81,71.51,90,1461,15050,4.035,1055,"0","0","6+","0","0","2","5+","vans","1","0","5","1"
416.62,331.43,120,1910,20250,4.336,1320,"1","0","1","0","1","1","5+","passenger cars","0","1","5","1"
183.38,211.42,90,1397,11359.13,3.59,865,"0","0","6+","1","0","1","1","passenger cars","1","0","3","1"
241.61,372.35,90,1461,23723.26,4.321,1365,"1","1","1","0","0","1","1","vans","0","0","5","1"
270.15,89.86,140,2148,37905.12,4.581,1510,"0","0","4","0","0","1","5+","passenger cars","0","0","5","1"
260.93,102.99,130,1896,20550,4.184,1293,"0","1","1","0","1","1","1","passenger cars","1","0","5","1"
243.41,882,110,1997,22410,4.419,1421,"0","1","1","0","0","1","5+","passenger cars","0","0","5","1"
274.01,689.99,106,1586,20574,4.005,1370,"0","0","2","0","0","1","2 - 4","passenger cars","0","1","3","0"
270.34,680.76,71,1896,15995,4.184,1266,"0","0","6+","1","1","4+","5+","passenger cars","0","0","4","1"
376.98,993.44,143,1995,28500,4.471,1320,"0","0","1","1","1","2","2 - 4","passenger cars","0","0","4","0"
267.31,182.9,120,1910,20250,4.336,1320,"0","0","4","1","1","3","5+","passenger cars","1","0","5","1"
325.88,77.86,114,1769,14754,4.425,1215,"0","0","4","1","1","1","2 - 4","passenger cars","1","0","5","0"
382.48,103.9,90,1896,17068.74,4.02,1270,"0","0","1","0","1","2","5+","passenger cars","0","1","5","1"
250.86,98.31,68,1700,13396.56,4.278,1130,"1","0","1","0","1","1","5+","passenger cars","0","0","5","1"
294.33,43.34,75,1349,9660,4.074,1005,"0","0","2","0","1","1","5+","passenger cars","0","0","3","0"
260.77,51.95,90,1360,17350,4.274,1182,"1","1","1","0","0","1","1","passenger cars","0","0","3","0"
905.07,10867.21,100,1560,18740,3.965,1150,"0","0","1","0","0","3","2 - 4","passenger cars","1","0","5","1"
169.38,104.18,70,1595,15157.53,4.184,1220,"0","0","6+","0","1","1","5+","passenger cars","0","0","5","0"
317.72,200.33,95,1461,20900,4.344,1385,"0","0","1","0","0","1","2 - 4","passenger cars","0","0","5","1"
245.47,98.45,70,1398,17500,3.731,1243,"0","1","1","0","0","2","2 - 4","passenger cars","0","0","3","1"
261.24,295.31,136,1998,23960,4.333,1448,"1","0","1","0","0","1","5+","passenger cars","1","0","5","1"
307.31,76.26,100,1596,17035,4.472,1294,"1","0","1","0","0","1","5+","passenger cars","1","0","5","0"
498.74,234.59,85,1248,13100,3.995,1045,"0","0","2","0","1","1","5+","passenger cars","1","0","5","0"
232.91,97.62,90,1560,18600,4.149,1257,"0","1","2","0","0","1","5+","passenger cars","1","0","5","1"
360.9,1008.29,100,1870,21909,5.182,1728,"1","0","1","0","0","3","5+","vans","1","0","5","1"
126.53,67.11,15,125,3099,3.43,188,"1","1","1","0","0","1","1","motorbikes","1","0","0","0"
299.86,312.87,65,1870,15145.51,4.137,1250,"1","0","3","0","1","2","5+","passenger cars","1","0","5","1"
375.82,56.85,100,1686,20670,4.249,1305,"1","1","1","0","1","1","1","passenger cars","1","0","5","1"
326.31,1971.4,125,1560,20950,4.358,1269,"0","0","1","0","1","2","2 - 4","passenger cars","1","0","4","0"
314.39,120.18,130,1587,15120.26,4.03,1145,"1","0","4","0","1","2","5+","passenger cars","1","0","5","1"
232.06,150.25,90,2688,42800,4.635,2175,"0","0","3","0","0","2","5+","passenger cars","0","0","4","1"
404.9,254.08,90,1896,21636.44,4.152,1270,"1","0","1","0","0","2","5+","passenger cars","1","0","3","1"
215.51,359.74,90,1896,17270,4.184,1232,"0","1","1","0","0","1","1","passenger cars","0","0","5","1"
227.65,56.85,75,1390,13326,3.953,1057,"1","0","1","0","0","1","1","passenger cars","1","0","5","0"
417.84,99.66,75,1753,18600,4.297,1388,"0","0","1","0","1","1","5+","vans","1","0","5","1"
278.61,187.8,86,1498,10289.33,4.074,1087,"0","1","1","0","1","1","1","passenger cars","0","0","5","0"
391.58,1160.29,82,1199,15500,3.941,980,"0","0","2","0","0","2","5+","passenger cars","0","1","5","0"
304.68,882,125,1596,19700,4.38,1299,"0","0","2","0","0","1","2 - 4","passenger cars","1","0","5","0"
281.5,841.78,75,1343,9616,4.453,944,"1","0","1","0","1","1","5+","passenger cars","0","0","4","0"
229.37,78.77,60,1560,20705,4.38,1407,"0","0","2","0","0","1","5+","vans","0","0","4","1"
350.73,191.59,98,1870,27160,4.695,1385,"1","0","1","0","0","1","5+","passenger cars","1","0","4","0"
234.8,1908.88,60,1461,15000,3.792,1185,"0","0","3","0","0","1","5+","passenger cars","0","0","4","1"
205.81,386.88,45,1195,8095.63,3.741,865,"1","1","1","1","1","1","1","passenger cars","0","0","3","0"
354.32,78.21,109,2148,23368.2,4.748,1745,"1","1","1","0","0","1","1","vans","0","0","5","1"
821.64,511.71,143,1968,33589.6,6.575,1636,"0","1","2","0","1","1","1","vans","1","0","2","1"
274.36,56.85,70,1422,13875,3.916,1089,"0","1","1","0","0","1","1","passenger cars","1","0","5","1"
395.41,7501.75,100,1870,24200,4.782,1789,"1","0","1","0","1","2","5+","vans","1","0","5","1"
343.16,520.95,112,1995,33400,4.52,1505,"0","0","2","0","0","2","5+","passenger cars","0","0","3","1"
219.95,86.76,82,1493,14800,4.025,1370,"1","1","1","0","1","1","1","passenger cars","0","0","5","1"
159.73,77.98,14,239,2860.22,3.054,123,"0","0","3","1","0","1","2 - 4","motorbikes","0","0","0","0"
246.3,4818.84,92,1560,18780,3.962,1155,"1","1","1","0","0","2","2 - 4","passenger cars","1","1","5","1"
152.9,180.04,0,600,7449,3.995,187,"0","1","2","0","0","1","1","motorbikes","1","0","0","0"
367.73,284.83,75,1686,16051,4.322,1203,"0","0","1","0","0","1","5+","vans","1","0","5","1"
281.11,224.42,95,1498,19700,3.883,1170,"0","0","1","0","0","3","2 - 4","passenger cars","1","0","5","0"
290.66,991.04,90,1461,15048.43,4.316,1205,"0","1","1","0","1","2","2 - 4","passenger cars","0","0","5","1"
475.56,882,60,1867,12220,3.835,1084,"1","0","4","0","1","1","2 - 4","passenger cars","1","1","6","0"
637.73,1477.58,117,1590,23199.99,4.355,1285,"1","1","1","0","0","1","1","passenger cars","0","1","5","0"
252.43,882,110,2184,15665,4.425,1250,"1","1","1","0","0","1","1","passenger cars","0","0","4","1"
366.96,996.71,140,2402,30950,5.68,1938,"1","0","1","0","0","3","2 - 4","vans","0","0","5","1"
199.76,220.72,115,1998,23550,4.731,1430,"0","0","2","0","0","2","5+","passenger cars","0","0","5","1"
268.33,64.85,120,1598,17900,3.626,1075,"1","0","2","0","1","1","5+","passenger cars","0","0","5","1"
111.05,56.68,11,125,2299,3.23,130,"1","1","1","0","0","1","5+","motorbikes","0","0","0","0"
301.33,174,115,1995,27350,5.182,1724,"0","0","1","0","0","2","2 - 4","vans","0","0","5","1"
343.72,292.69,90,1896,21636.44,4.152,1270,"1","1","1","0","1","1","1","passenger cars","0","0","3","1"
306.26,78.77,136,1870,23745,4.5,1310,"0","0","2","0","0","1","5+","passenger cars","0","0","5","1"
436.78,768.5,110,1560,20840,4.26,1205,"1","0","1","0","1","2","5+","passenger cars","1","0","5","1"
265.39,871.88,110,1461,20680,4.302,1215,"0","0","2","1","1","2","5+","passenger cars","0","1","4","1"
287.72,1087.7,75,1149,13800,3.986,1015,"1","1","1","0","1","3","2 - 4","passenger cars","0","0","5","0"
251.71,460.07,110,1560,24370,4.47,1414,"1","0","2","0","1","1","1","passenger cars","1","0","5","1"
307.57,49.13,110,1560,23800,4.676,1512,"1","0","1","1","1","1","1","passenger cars","1","0","4","1"
390.55,6875.43,90,1997,18943,4.276,1300,"1","0","1","1","1","1","2 - 4","passenger cars","1","0","5","1"
277.38,70.57,184,1796,22230,4.267,1195,"1","0","6+","1","1","4+","5+","passenger cars","1","1","4","1"
95.73,510.35,140,2204,28400,4.53,1656,"0","0","2","0","0","1","1","passenger cars","1","0","5","1"
298.62,148.77,92,1560,17740,4.26,1182,"1","1","1","0","1","2","2 - 4","passenger cars","1","0","5","1"
367.37,929.92,120,1910,27915,4.467,1553,"1","0","2","1","1","1","5+","passenger cars","1","0","5","1"
274.41,608.89,60,1686,22940,4.419,1428,"0","0","2","0","1","1","2 - 4","passenger cars","1","0","5","0"
553.09,882,60,1391,10030.89,3.88,955,"1","0","1","0","1","1","2 - 4","passenger cars","1","0","3","0"
447.61,55.17,115,1582,19681,4.235,1292,"1","0","1","0","0","1","2 - 4","passenger cars","0","0","5","1"
242.81,63.34,64,1896,13769.19,4.02,1060,"1","1","1","0","1","1","1","passenger cars","0","0","5","1"
353.6,882,75,2198,29400,5.413,1900,"1","0","2","0","0","2","2 - 4","vans","0","0","6","1"
352.07,306.13,136,1997,30600,4.676,1672,"0","0","1","0","0","1","1","passenger cars","0","0","4","1"
297.92,153.18,122,1497,16357,4.197,1179,"1","0","3","1","0","2","5+","passenger cars","0","0","4","0"
584.42,4062,120,1997,23816,4.805,1702,"1","0","3","0","1","1","2 - 4","vans","0","0","5","1"
352.44,67.11,70,1398,12660,3.662,1071,"1","0","1","0","1","1","2 - 4","passenger cars","0","0","3","1"
439.85,9598.8,125,1781,23420,4.152,1160,"1","0","1","0","1","1","5+","passenger cars","0","0","3","0"
212.41,88.3,60,1124,9784,3.72,825,"1","1","1","0","0","1","1","passenger cars","0","0","5","0"
162.21,138.52,36,399,6099,2.09,209,"0","0","1","0","0","1","1","motorbikes","0","0","0","0"
486.52,645.2,75,2926,44900,4.775,1635,"0","0","1","0","1","1","2 - 4","passenger cars","0","0","5","1"
388.38,2380.54,82,1199,18200,4.17,1083,"0","0","2","0","1","1","2 - 4","passenger cars","0","0","5","0"
311.97,681.46,110,1997,15180,3.822,1145,"0","0","2","0","0","4+","2 - 4","passenger cars","0","1","5","1"
441.63,926.61,64,1198,12505,3.953,1015,"1","0","1","0","1","1","5+","passenger cars","1","0","3","0"
376.01,56.63,136,1951,28451.91,4.471,1450,"1","1","2","0","0","1","1","passenger cars","0","0","4","1"
236.98,49.95,100,1896,16407.29,4.28,1171,"1","1","1","0","0","1","1","passenger cars","0","1","4","1"
664.77,941.47,174,2461,48610,4.754,2267,"1","1","1","0","0","1","1","passenger cars","0","0","5","1"
300.83,465.01,150,1995,28300,4.262,1395,"0","1","1","0","0","2","2 - 4","passenger cars","1","0","3","1"
316.92,970,70,1398,16270,3.85,1022,"1","1","1","0","0","1","1","passenger cars","0","1","5","1"
461.45,4567,110,1686,21290,4.249,1325,"0","0","3","1","1","3","5+","passenger cars","0","0","5","1"
321.11,121.97,136,1951,28451.91,4.471,1450,"0","0","1","0","1","1","5+","passenger cars","1","0","4","1"
548.05,10827.05,125,1395,23450.01,4.282,1233,"1","0","2","0","0","2","2 - 4","passenger cars","0","0","5","0"
313.66,451.51,90,1753,16610,4.555,1399,"1","1","1","0","1","1","1","vans","1","0","5","1"
398.22,740.06,140,1997,29190,4.768,1668,"1","1","1","0","0","1","1","passenger cars","1","0","5","1"
302.77,88.94,105,1598,19100,4.249,1195,"1","1","1","0","1","1","1","passenger cars","0","0","5","0"
350.41,882,177,1461,16310,3.995,1095,"0","0","1","0","1","1","5+","vans","0","0","4","1"
484.77,100.55,115,1995,26300,4.262,1395,"1","0","1","1","0","1","2 - 4","passenger cars","0","0","3","1"
265.24,209.4,115,1991,21174,4.545,1543,"0","0","1","0","0","2","5+","passenger cars","0","0","5","1"
